"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"R7";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"33";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R18";"10k";"TRIM_EU-CA6V";"CA6V";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";
"R19";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R20";"4k7";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R21";"100";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R22";"4k7";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R23";"100";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R24";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R25";"10k";"TRIM_EU-CA6V";"CA6V";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";
"R26";"4k7";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R27";"4k7";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R28";"100";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R29";"100";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R30";"1k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R31";"1k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R32";"1k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R33";"1k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R34";"33";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R35";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R36";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R37";"33";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R38";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R39";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R40";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R41";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R42";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R43";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R44";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R45";"1k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R46";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R47";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R48";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R49";"1k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R50";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R51";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R52";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R53";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R54";"1k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R55";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R56";"10k";"TRIM_EU-CA6V";"CA6V";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";
"R57";"10k";"TRIM_EU-CA6V";"CA6V";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";
"R58";"33";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R59";"1M";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R60";"470";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R61";"100";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R62";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R65";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R66";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R69";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R70";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R71";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R72";"10k";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R74";"10k";"TRIM_EU-CA6V";"CA6V";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";
"R77";"100";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R78";"100";"R0805";"R0805";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S1";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S2";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S3";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S4";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S5";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S6";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S7";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S8";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S9";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S10";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S11";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S12";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S13";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S14";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S15";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"S16";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"X1";"STEREOJACK";"STEREOJACK";"STX3100";"MIC/HEADPHONE JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
